,,Name,,,,Time/iter, +/-,,Min,Max
,,cc_2_threads_iter_streaming_mut_10_50000,,,,"341,450","42,449",,"299,001","383,899"
,,vec_2_threads_iter_mut_50000,,,,"193,116","7,423",,"185,693","200,539"
,,,,,,,,,,
,,,,,,,,,,
6 Threads,Streaming Iter Mut,cc_6_threads_iter_streaming_mut_1_100,,,,"389,737","11,891",,"377,846","401,628"
,,cc_6_threads_iter_streaming_mut_4_100,,,,"389,581","11,644",,"377,937","401,225"
,,cc_6_threads_iter_streaming_mut_8_100,,,,"391,206","14,114",,"377,092","405,320"
,,cc_6_threads_iter_streaming_mut_10_100,,,,"390,382","12,030",,"378,352","402,412"
,,vec_6_threads_iter_mut_100,,,,"392,834","12,243",,"380,591","405,077"
,,,,,,,,,,
,,cc_6_threads_iter_streaming_mut_1_1000,,,,"396,736","15,897",,"380,839","412,633"
,,cc_6_threads_iter_streaming_mut_4_1000,,,,"400,082","14,850",,"385,232","414,932"
,,cc_6_threads_iter_streaming_mut_8_1000,,,,"399,690","14,557",,"385,133","414,247"
,,cc_6_threads_iter_streaming_mut_10_1000,,,,"398,811","12,323",,"386,488","411,134"
,,vec_6_threads_iter_mut_1000,,,,"389,418","12,603",,"376,815","402,021"
,,,,,,,,,,
,,cc_6_threads_iter_streaming_mut_1_5000,,,,"387,056","16,106",,"370,950","403,162"
,,cc_6_threads_iter_streaming_mut_4_5000,,,,"383,170","9,209",,"373,961","392,379"
,,cc_6_threads_iter_streaming_mut_8_5000,,,,"386,288","13,519",,"372,769","399,807"
,,cc_6_threads_iter_streaming_mut_10_5000,,,,"382,055","9,611",,"372,444","391,666"
,,vec_6_threads_iter_mut_5000,,,,"394,411","14,104",,"380,307","408,515"
,,,,,,,,,,
,,cc_6_threads_iter_streaming_mut_1_10000,,,,"489,809","24,015",,"465,794","513,824"
,,cc_6_threads_iter_streaming_mut_4_10000,,,,"410,829","15,324",,"395,505","426,153"
,,cc_6_threads_iter_streaming_mut_8_10000,,,,"410,284","11,454",,"398,830","421,738"
,,cc_6_threads_iter_streaming_mut_10_10000,,,,"406,435","14,629",,"391,806","421,064"
,,vec_6_threads_iter_mut_10000,,,,"402,453","14,307",,"388,146","416,760"
,,,,,,,,,,
,,cc_6_threads_iter_streaming_mut_1_50000,,,,"1,418,275","127,723",,"1,290,552","1,545,998"
,,cc_6_threads_iter_streaming_mut_4_50000,,,,"767,203","31,072",,"736,131","798,275"
,,cc_6_threads_iter_streaming_mut_8_50000,,,,"715,390","24,607",,"690,783","739,997"
,,cc_6_threads_iter_streaming_mut_10_50000,,,,"715,376","24,182",,"691,194","739,558"
